serial|name|visibility|birthday|gender|location|status|joined|job|language|blogTraffic|posts|myComments|userComments|photos|friends|following|followers|points|lastOnline
2286|TheJuice|Public|1989-12-29|Male|?|Single|2008-10-15|?|?|1312|13|6|24|14|12|2|1|226|1343 days ago
2287|TheOneWhoBlogs|Public|?|Not Specified|L.A.|Single|2011-02-19|?|?|63|0|0|0|1|1|0|0|100|873 days ago
2288|therealthinker|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2289|themetalhead|Public|1991-07-29|Male|Longview|Single|2009-11-05|Cashier|english|132|2|0|1|1|4|1|0|132|1240 days ago
2290|thehermit|Public|1992-06-01|Female|On Earth|Not Interested|2007-06-25|?|?|948|0|11|20|4|8|0|2|1|719 days ago
2291|tiffanyjewelry|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2292|thunderrock|Public|?|Male|?|Single|2008-12-31|Module lead|English|665|7|4|4|2|24|2|1|261|1312 days ago
2293|thevillainousvoxx|Public|1986-09-18|Male|Toronto|Single|2006-10-17|Customer Service|?|13373|110|391|428|6|35|2|6|1731|7 days ago
2294|theToriiiii|Public|?|Female|?|Single|2010-09-01|?|?|3393|24|66|164|18|36|8|4|585|657 days ago
2295|throwingspiders|Public|1979-08-09|Female|Spring City|In A Relationship|2005-11-30|?|?|25186|41|267|540|4|13|3|5|676|943 days ago
2296|Timber|Public|1973-01-11|Female|Hull|Complicated|2008-12-15|?|English|795|9|14|18|1|10|2|0|292|1497 days ago
2297|theoriginalanne|Public|1993-11-08|Female|?|In A Relationship|2009-12-22|?|english|1608|21|141|325|3|26|3|3|502|634 days ago
2298|Tom13|Public|1981-07-13|Male|?|?|2008-11-11|?|?|497|4|19|11|8|2|0|1|66|1523 days ago
2299|tiondrab|Public|1993-08-05|Not Specified|?|?|2009-06-25|?|?|22|0|0|0|0|2|0|0|100|1356 days ago
2300|twilighbutterfly|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2301|torontoace66|Public|1994-12-06|Male|Toronto|In A Relationship|2011-03-01|Hockey Playing|English|1270|29|146|109|6|10|1|3|835|570 days ago
2302|twilight-luva|Public|1995-01-15|Female|?|Single|2009-08-07|pro Twilight lovers|english|123|2|2|4|3|5|0|0|161|1144 days ago
2303|ToutsOnTheBlog|Public|1987-01-01|Not Specified|?|?|2009-02-14|?|?|441|2|0|0|8|3|1|0|167|1158 days ago
2304|untamedtrouble|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2305|trackbabe423|Public|1990-04-23|Female|?|Not Specified|2008-08-18|?|English|347|6|4|9|9|2|0|1|100|1322 days ago
2306|uniquelyemo|Public|1994-06-28|Female|?|Single|2009-04-01|?|Spanish and English|479|5|13|8|12|25|0|1|481|1350 days ago
2307|ukbusinessman|Public|1961-01-05|Male|Bournemouth|Not Interested|2006-10-06|?|?|2739|28|8|15|12|3|0|0|420|1999 days ago
2308|valerievann|Public|1991-01-25|Not Specified|?|?|2010-09-29|?|?|2070|17|0|23|0|9|0|2|402|691 days ago
2309|UNVME|Public|1901-01-01|Female|Maine|Single|2009-01-17|?|English|934|6|18|16|1|5|0|1|258|1454 days ago
2310|TragicLove|Public|?|Male|?|?|2010-02-16|?|?|5186|51|399|348|4|101|3|13|1538|298 days ago
2311|urbaninspiration|Public|1978-07-04|Male|?|?|2008-01-28|entertainment|?|1435|2|1|3|1|31|3|1|30|1721 days ago
2312|webcamsocials|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2313|ValWashington|Public|1972-09-13|Female|?|?|2008-08-21|?|?|3133|26|0|8|24|20|0|1|393|1430 days ago
2314|Vivi01326|Public|1994-06-28|Female|?|?|2009-07-28|?|?|349|5|5|24|0|6|0|0|188|1304 days ago
2315|wickedwitchofthewest|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2316|vivalanic|Public|1981-07-09|Female|Los Angeles|Not Interested|2006-09-11|Design|?|5986|14|40|51|76|11|1|1|210|2006 days ago
2317|vangoghsear|Public|1965-12-22|Male|Independence|Not Interested|2006-05-02|Nurse|?|13890|125|148|195|12|27|0|2|1875|1889 days ago
2318|variousthoughts|Public|1989-08-07|Male|?|Not Specified|2008-12-18|?|English|3241|43|72|60|3|46|0|1|1054|264 days ago
2319|viuonline|Public|1984-03-28|Not Specified|?|?|2009-12-11|?|?|74|1|0|0|1|8|0|0|116|1201 days ago
2320|whitepearl|Public|1990-10-29|Female|Lapu-lapu city|Prefer Not To Say|2007-09-17|?|?|4097|27|42|40|44|17|1|1|405|1573 days ago
2321|watchpacmarg|Public|?|Male|?|?|2010-09-21|?|?|255|2|1|3|2|2|0|0|135|955 days ago
2322|wwwmichaelmcom|Public|?|Male|?|Other|2009-12-30|?|?|60|1|0|0|0|1|0|0|116|1202 days ago
2323|WritersBlock6|Public|1995-09-06|Female|?|Single|2009-08-08|?|English|148|2|0|0|1|6|0|0|133|1312 days ago
2324|wright|Public|1976-11-03|Male|Glendale Queens|Single|2007-04-07|Entertainment|?|809|6|0|1|0|16|0|0|90|2004 days ago
2325|xtrahands|Public|1954-07-17|Male|?|?|2008-09-17|construction|?|1102|5|7|5|4|2|0|0|79|733 days ago
2326|WritersAnonymous|Public|1992-12-01|Male|?|Single|2008-07-01|?|?|1466|1|14|29|4|21|0|3|33|1275 days ago
2327|zeyaroo|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2328|yukitorama|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2329|xxdarkwolff|Public|?|Female|?|In A Relationship|2011-10-30|?|?|941|11|13|22|1|5|1|1|311|37 days ago
2330|merviltonrecords|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2331|xxsadstory92xx|Public|1992-04-22|Female|Los Angeles|In A Relationship|2009-03-21|Actor|english|1056|22|21|36|10|9|0|0|546|1169 days ago
2332|amanispeace|Public|1980-06-11|Female|peace|Not Interested|2007-10-14|?|?|2032|4|3|4|0|6|0|0|64|1181 days ago
2333|zemaworks|Public|1943-01-25|Male|Peso da Régua|Not Interested|2007-02-20|Business|?|2203|9|3|4|66|10|1|0|140|424 days ago
2334|AloraParanoia|Public|1993-06-01|Female|Zombieland|In A Relationship|2010-04-07|?|My Own?|2822|27|69|86|26|55|3|6|857|555 days ago
2335|ziggy516|Public|1976-07-14|Male|New Bedford|In A Relationship|2006-02-16|Other|?|16547|87|197|225|2|23|1|0|1305|1768 days ago
2336|yayachick|Public|1985-09-04|Female|?|Not Specified|2008-05-02|?|?|2128|3|65|84|1|21|0|3|81|1445 days ago
2337|MoonieMT|Public|1956-11-24|Female|?|?|2012-08-14|?|English, Cherokee|50|0|2|0|5|4|0|1|110|429 days ago
2338|balevi|Public|1964-06-21|Male|Toronto|Not Interested|2007-01-31|?|?|5576|18|40|37|9|3|0|0|278|209 days ago
2339|XXepicphail|Public|1989-05-25|Female|Philadelphia|In A Relationship|2008-10-04|Nursing Assitant/ Cashier|?|2323|55|18|14|1|7|0|0|954|1375 days ago
2340|africanproverbs|Public|1986-01-11|Male|?|Single|2011-04-03|?|English|130|2|1|2|1|2|0|0|138|835 days ago
2341|ambereyes|Public|1975-03-13|Female|HU?|In A Relationship|2006-03-23|Government|?|19537|148|603|773|4|20|0|3|2222|1478 days ago
2342|akermariano|Public|?|Male|?|Not Specified|2006-07-21|?|?|98392|0|223|407|0|4|0|1|87|48 days ago
2343|angelx|Public|1985-11-28|Female|Kuala Lumpur|Single|2007-05-17|Education|?|11248|61|21|46|10|14|0|1|916|1020 days ago
2344|barbiebrains|Public|1907-12-28|Male|Paltryville|Other|2006-02-16|Grocery|?|16005|50|166|453|0|21|0|6|750|1976 days ago
2345|ajyaylaci|Public|1982-01-24|Male|Newark|Single|2009-06-21|?|English|4450|45|24|61|8|11|0|0|1304|18 days ago
2346|begraffic|Public|1991-07-05|Male|Beernem|Complicated|2010-06-03|?|Dutch/English|54|1|0|8|2|2|0|1|116|1074 days ago
2347|berealorbegone|Public|?|Female|?|Married|2011-09-03|?|English|2647|7|212|123|7|7|0|1|388|640 days ago
2348|ClaytonClifton|Public|1987-08-24|Male|?|?|2010-02-01|?|?|1508|18|6|31|1|11|0|1|446|954 days ago
2349|Chantalle|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2350|Crushaholic|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2351|carissa118|Public|1992-11-08|Female|crystal city|In A Relationship|2009-05-17|Student Teacher|English|1993|22|2|10|18|10|0|0|451|67 days ago
2352|carmelafortune|Public|?|Female|?|?|2012-04-11|?|English, Spanish|1889|13|292|231|14|9|20|5|1120|201 days ago
2353|donotbeafraid|Public|1944-08-11|Female|Bethlehem|Not Interested|2006-12-21|?|?|3831|11|70|56|0|7|3|0|165|2032 days ago
2354|dookdam|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2355|ethanator|Public|1989-11-14|Male|Tigard|Single|2007-01-26|Ice Attendant|?|4780|1|169|135|0|10|2|1|23|1195 days ago
2356|constantvariable|Public|1984-12-28|Male|?|?|2005-06-22|Professional Service|?|17152|0|359|296|0|14|0|2|1|920 days ago
2357|curiouslady|Public|1945-12-23|Female|Southern piney woods of|Married|2007-04-06|?|?|11242|81|607|629|28|60|0|2|1215|1772 days ago
2358|embracedbygrace|Public|?|Female|?|?|2011-07-20|Student Worker|?|6083|66|4|26|66|2|0|0|1167|16 days ago
2359|CCMInternational|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2360|ctaggart|Public|1990-08-23|Male|?|?|2010-12-01|?|?|16822|19|21|76|2|15|0|3|555|275 days ago
2361|docrock|Public|1923-04-26|Male|San Diego|?|2006-02-14|information-technolo|yes|56648|356|3092|3478|0|41|1|8|5364|961 days ago
2362|Brilliantmadness|Public|1961-01-22|Female|Boston|Not Interested|2005-08-20|Health Care|?|22206|154|796|682|2|50|13|9|2312|1300 days ago
2363|hotbrush|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2364|halfey|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2365|htargett|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2366|bumpedoff3|Public|1941-11-03|Male|Beer Sheva|Not Interested|2005-05-21|Marketing|?|89260|876|3899|2398|161|108|1|5|13140|1676 days ago
2367|emeraldeyes|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2368|Emmy-Jay|Public|?|Female|London|In A Relationship|2011-01-22|?|English|1179|10|3|11|15|15|0|1|269|884 days ago
2369|emmapeale|Public|2008-01-01|Female|Smalltown|?|2007-04-11|?|?|7072|39|133|168|11|22|18|1|586|1225 days ago
2370|futurefamousauthor|Public|1984-02-27|Female|Hubbard|Single|2006-04-26|unpublished childrens writer|null|15506|143|137|158|43|11|0|2|2332|727 days ago
2371|Hijab-al-faisal|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2372|nascargranny|Public|1954-08-13|Female|charlotte|Prefer Not To Say|2005-06-23|?|?|10341|76|280|86|15|6|0|1|1140|1561 days ago
2373|mamared|Public|1984-10-25|Female|Tulsa|In A Relationship|2007-06-28|?|?|2770|28|22|35|0|4|0|1|424|24 days ago
2374|eternidad|Public|1965-02-15|Female|London|Not Interested|2006-08-24|Education|?|2621|6|10|15|0|10|0|0|90|1795 days ago
2375|Irishstew|Public|1942-03-17|Female|On the shores of Lake Erie|Single|2005-10-31|Education|?|2949|5|132|72|0|15|6|2|75|1580 days ago
2376|Silenz|Public|1991-01-22|Female|Statesville|Not Interested|2005-10-15|?|?|13061|68|754|501|22|38|10|10|1024|673 days ago
2377|rlmoore|Public|1951-04-25|Female|Hoquiam|Not Interested|2006-07-10|Health Care|?|38560|340|3227|2450|45|77|0|5|5100|1820 days ago
2378|hekate|Public|1967-01-11|Female|Calgary|In A Relationship|2006-03-05|Other|?|16269|149|244|257|0|12|3|1|2235|1943 days ago
2379|jajenney|Public|?|Male|?|Married|2006-06-23|retired|?|26938|120|158|244|13|11|0|1|1960|5 days ago
2380|mstaylormichele|Public|1997-07-23|Female|Marion|Single|2011-02-18|Manager Scarer|English/Spanish|383|3|3|5|5|1|0|0|155|620 days ago
2381|scwrlbait|Public|1985-07-06|Female|middle of nowhere|Not Interested|2007-03-20|?|?|5031|26|56|65|0|21|0|1|397|1062 days ago
2382|jerrychia06|Public|?|Male|chengdu|?|2011-04-23|?|Chinglish|48|0|9|0|2|5|0|0|125|816 days ago
2383|peterpancan|Public|1951-04-15|Male|Johor Bahru|Not Interested|2007-03-15|?|?|16117|124|141|202|34|13|0|1|1860|1590 days ago
2384|iluminae|Public|1978-02-27|Male|Mexico D.F.|?|2005-12-03|?|?|1151|1|0|1|1|1|0|0|15|2396 days ago
2385|joanmichi|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2386|Kdot|Public|1978-03-20|Female|Las Vegas|In A Relationship|2005-09-16|Other|?|4533|12|33|38|4|10|0|2|180|2056 days ago
2387|WCBLSTR10|Public|1936-09-28|Male|Appleton|Married|2010-02-19|RETIRED|English|1477|5|5|16|4|27|2|1|204|18 days ago
2388|Meanderthalis|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2389|lebrokgoodoffers|Public|?|Female|?|?|2010-05-13|?|?|2948|21|85|38|1|14|0|0|601|922 days ago
2390|ladyofeiesure|Public|1922-12-22|Female|Houston|Not Interested|2006-07-02|Other|?|15792|108|1026|614|16|78|0|7|1639|1478 days ago
2391|linnaeus|Public|?|Male|Manila|In A Relationship|2006-11-13|?|?|69340|14|119|212|277|5|0|1|286|47 days ago
2392|meditativemusings|Public|?|Female|?|?|2010-12-25|?|?|1782|10|4|14|0|5|0|0|272|461 days ago
2393|meansisters|Public|1982-01-01|Female|Modena|Not Interested|2006-09-27|?|?|8781|41|124|127|65|2|0|1|615|2009 days ago
2394|llmack|Public|1988-01-28|Female|Wonderland|In A Relationship|2006-11-07|?|?|1462|10|4|9|30|2|0|0|150|2083 days ago
2395|mereonair|Public|1907-12-29|Female|Minneapolis|Not Interested|2005-10-30|?|?|40529|97|113|483|27|53|1|9|1461|1055 days ago
2396|missann|Public|1935-02-17|Female|?|?|2006-07-30|?|?|2317|6|13|22|0|2|0|0|90|1997 days ago
2397|WhiskeyTango|Public|1934-12-06|Male|Corpus Christi|divorced|2005-05-15|Test Administrator|English|356691|3524|967|5122|58|109|2|10|52939|908 days ago
2398|luckystar|Public|?|Female|Daytona|Not Interested|2005-12-21|?|?|27347|150|2360|1655|10|70|3|9|2254|763 days ago
2399|mrsbell|Public|1976-03-10|Female|Plymouth|Married|2006-07-23|Transportation|?|17884|106|1166|903|34|17|17|2|1608|882 days ago
2400|praneev|Public|1982-04-13|Male|Kochi|Single|2006-12-21|Information Technolo|?|8028|41|9|19|8|9|0|2|615|1732 days ago
2401|payback911|Public|1941-11-03|Male|Yeruham|Not Interested|2005-05-19|Government|?|87647|911|2284|1525|163|72|0|5|13665|1675 days ago
2402|kathyjoyful2day|Public|?|Female|AngelsAround|Married|2005-03-24|?|?|38138|381|2334|1568|38|181|1|8|5948|128 days ago
2403|Netwit|Public|1956-02-05|Male|Castle Rock|?|2005-03-17|?|?|23004|223|400|888|24|41|14|4|3349|244 days ago
2404|octogenarian|Public|1925-03-19|Female|Florida|?|2005-02-28|Publishing|?|45945|103|237|738|1|67|0|15|1582|993 days ago
2405|pjbrull|Public|1938-12-16|Not Specified|Kissimmee|?|2005-12-11|?|?|2716|2|2|6|8|1|0|0|30|2386 days ago
2406|overexposed|Public|1987-01-21|Female|RiverShit|In A Relationship|2007-03-14|Customer Service|?|10514|103|379|704|71|52|0|2|1550|1437 days ago
2407|queenofcrazy|Public|1950-08-01|Female|Salem|Not Interested|2005-03-06|?|?|30586|123|302|298|9|19|1|5|1845|1993 days ago
2408|promisekeeper|Public|1991-06-17|Female|?|?|2007-02-07|?|?|1982|4|1|7|0|3|0|1|60|1985 days ago
2409|RealTalkGHGH|Public|1984-05-18|Not Specified|Baltimore|?|2011-03-15|?|?|658|4|6|5|1|3|8|0|177|832 days ago
2410|ryokorei|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2411|renruth|Public|1955-10-12|Female|Bel Mateo|in-a-relationship|2007-02-07|health-care|?|22832|254|1466|1738|24|40|0|7|3816|1155 days ago
2412|sakuraisho|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2413|rtistnaroomalone|Public|1987-12-13|Female|Ogdensburg|?|2006-02-06|Pharmaceutical|?|5590|32|28|39|13|14|0|0|480|2031 days ago
2414|sandypaint|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2415|shenandoah|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2416|sarajuliet|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2417|samworrallnovel|Public|1992-03-12|Male|Manchester|Single|2006-05-21|?|?|37834|319|2241|1804|25|49|0|4|4786|2 days ago
2418|skinhead44|Public|1962-08-16|Male|Boston|Not Interested|2007-06-21|Professional Service|?|21964|368|2216|1936|50|10|0|2|5520|1865 days ago
2419|secretblogger|Public|1985-11-01|Female|chico|Not Interested|2006-08-27|?|?|5150|20|92|110|7|40|13|6|300|1666 days ago
2420|sweetnspacey|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2421|stopthepress|Public|1955-10-30|Male|Galena|Married|2009-12-27|?|English|2991|5|8|3|24|2|0|0|228|1059 days ago
2422|sovereigngraceword|Public|1970-08-10|Male|in transit|Married|2006-08-18|?|?|5879|34|17|44|0|4|0|0|510|1588 days ago
2423|stuntdouble|Public|1976-12-26|Female|Charlotte|Other|2007-06-04|?|?|4525|22|65|105|3|18|0|1|333|1491 days ago
2424|valanthony|Public|1985-02-14|Male|Manila|Not Interested|2006-08-31|?|?|1980|7|4|8|0|11|0|0|105|2168 days ago
2425|sreediva|Public|1976-02-18|Female|Bangalore|Not Interested|2006-07-17|?|?|14374|67|622|592|1|26|1|5|1022|518 days ago
2426|tanyas|Public|1978-10-11|Female|Bowling Green|Single|2006-11-14|Education|?|2692|8|29|42|0|13|0|1|120|2039 days ago
2427|tainoroots|Public|1957-04-15|Female|southern|Not Interested|2006-10-22|?|?|2665|4|8|12|3|3|0|0|62|1101 days ago
2428|waytoparadise|Public|1981-03-12|Female|Casablanca|Single|2010-09-04|Ticketing agent|English,French,Spanish, Arabic(my native lg)|18777|156|1266|1466|6|63|0|3|3839|414 days ago
2429|tommie|Public|1953-07-24|Female|Portland|Single|2006-10-09|?|?|10978|121|150|110|42|9|1|0|1819|1243 days ago
2430|whenyoureaway|Public|?|Female|?|?|2011-04-23|?|?|749|6|8|18|0|2|0|0|209|804 days ago
2431|willsjoshua16|Public|1986-11-11|Not Specified|?|?|2010-05-13|?|?|30|1|0|0|0|8|0|0|116|1078 days ago
2432|venusiangoddess|Public|1956-09-11|Female|Venus|In A Relationship|2007-05-31|?|?|6390|30|256|376|7|29|1|2|450|1593 days ago
2433|wandaful|Public|1973-07-11|Female|Thakenham|Married|2007-03-05|Other|?|32066|379|4154|3602|15|78|0|8|5685|1702 days ago
2434|wendysuz|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2435|Slywoody3|Public|1987-01-06|Male|Jerusalem|Single|2005-05-23|Government|?|77696|835|2697|1728|145|106|0|12|12525|1698 days ago
2436|Writer847|Public|1979-07-05|Female|?|Prefer Not To Say|2010-01-05|?|?|1166|0|55|49|1|12|2|1|217|362 days ago
2437|100wordreviews|Public|?|Male|?|Single|2009-11-18|?|English|31493|112|55|213|0|4|1|3|2046|608 days ago
2438|aimvena|Public|1995-07-25|Female|?|?|2007-12-03|?|english|16756|156|334|674|15|52|0|4|2757|109 days ago
2439|youwannawhat|Public|1976-08-31|Female|Dallas|Not Interested|2005-06-22|?|?|1808|6|2|32|1|6|40|0|90|1769 days ago
2440|agentneptune|Public|1970-10-31|Male|?|?|2010-06-03|?|?|371|1|14|36|2|5|6|1|140|817 days ago
2441|allegedlyalice|Public|?|Female|?|?|2009-12-16|?|?|1212|0|26|50|2|16|1|3|211|978 days ago
2442|AwesomeChannel|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2443|biblehistroy|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2444|beauchamp|Public|?|Female|?|divorced|2009-11-21|?|?|616|9|10|33|1|1|0|0|287|360 days ago
2445|ashleighrussell|Public|?|Female|?|In A Relationship|2012-06-21|Apprentice Administrator Assista|English|5550|50|26|94|18|12|1|3|923|415 days ago
2446|BipolarB1tch|Public|1986-12-06|Female|?|?|2010-05-09|?|English|788|3|2|5|1|3|4|0|150|1098 days ago
2447|billyblogger|Public|1974-03-01|Male|Northeast|Married|2007-02-16|?|English|13790|115|72|175|7|20|2|2|1848|58 days ago
2448|bitchesbehating|Public|?|Female|?|?|2012-01-31|?|English|2020|15|128|121|17|22|5|3|465|546 days ago
2449|blankpages|Public|1993-09-10|Female|?|?|2008-10-15|?|?|1514|7|4|4|1|3|0|1|105|1550 days ago
2450|BostonBill|Public|?|Male|?|?|2010-09-30|?|?|2244|42|83|264|0|44|0|1|864|892 days ago
2451|BrokenButterfly|Public|1976-07-07|Female|?|?|2010-04-21|?|English|340|18|33|62|17|7|2|0|437|1092 days ago
2452|brokenprincess|Public|1971-09-25|Not Specified|?|?|2009-12-13|?|English|2372|30|185|206|9|14|0|3|751|1198 days ago
2453|christinequiapo|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2454|Cannabis|Public|?|Male|?|?|2011-08-15|?|English|450|2|3|8|1|4|0|1|139|725 days ago
2455|CanadianCountryGirl17|Public|?|Female|?|Single|2010-04-06|?|?|494|10|6|17|3|5|1|0|271|1061 days ago
2456|Celine96|Public|1996-09-22|Female|?|Single|2010-10-16|?|English|8416|72|158|167|10|81|7|7|1679|339 days ago
2457|closetedatheist|Public|?|Female|?|Single|2010-05-08|?|English, French|273|5|12|24|1|5|0|1|193|1081 days ago
2458|dsecretblog|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2459|burnfatloseweight|Public|1967-11-05|Female|?|divorced|2009-12-23|?|?|1046|6|6|15|2|12|2|1|204|1188 days ago
2460|dimphil|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2461|collinnieves717|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2462|CrimenMoestitia|Public|?|Not Specified|?|Complicated|2009-11-24|?|?|50|1|1|4|0|1|0|0|120|594 days ago
2463|deadbutdreaming|Public|1979-10-28|Male|Pittsburgh|Married|2010-05-13|?|English|106|2|1|3|0|1|0|0|134|1061 days ago
2464|CrazyDave|Public|1958-02-10|Male|?|?|2008-05-07|?|?|46052|530|86|653|44|25|0|6|8565|92 days ago
2465|Emmas-Books|Public|?|Not Specified|?|Complicated|2009-12-28|?|?|3008|30|38|59|64|22|1|1|676|974 days ago
2466|christasonline|Public|1982-03-05|Female|Southaven|Not Interested|2012-03-03|?|English|21366|2|1|5|3|4|0|1|138|549 days ago
2467|cherylthoughts|Public|1991-01-04|Female|?|Married|2009-08-07|?|English|2012|31|62|75|10|27|0|3|727|1186 days ago
2468|ERASERMAN|Public|?|Not Specified|?|?|2010-09-03|?|?|2112|29|109|84|5|5|0|1|706|548 days ago
2469|expressit|Public|1992-11-28|Not Specified|?|?|2010-06-04|?|ENGLISH|944|3|6|26|1|5|0|0|154|1076 days ago
2470|frugaller|Public|1969-06-16|Not Specified|?|?|2011-08-31|Owner|?|733|4|10|21|5|5|3|1|182|712 days ago
2471|gackt-diary|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2472|foysjoy|Public|1962-04-24|Female|Paradise|Single|2007-01-21|?|?|7734|0|493|262|48|6|44|2|41|1168 days ago
2473|girlygames|Public|1988-11-14|Female|?|?|2010-09-04|?|?|711|17|1|6|0|13|0|1|369|910 days ago
2474|healthylifeandfitness|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2475|GordonIson|Public|1966-02-11|Male|?|Single|2009-09-04|?|?|6235|68|285|223|4|15|0|4|1539|556 days ago
2476|GeminiMind|Public|1998-01-01|Male|?|?|2010-08-02|?|?|1558|0|395|425|2|15|4|5|655|752 days ago
2477|GreaseMonkeyGirl|Public|1983-10-04|Female|?|Single|2010-01-01|?|Englasias|555|5|24|47|4|4|1|0|203|1176 days ago
2478|grdnrose1|Public|1962-05-10|Female|Bardstown|Not Interested|2005-04-24|Marketing|?|24692|271|353|756|12|43|0|9|4636|11 days ago
2479|hereiamtakealook|Public|1992-03-28|Female|?|In A Relationship|2010-06-03|?|English|460|9|12|16|9|3|3|0|266|993 days ago
2480|inebriatedbabbler|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2481|Heyitskelkel|Public|?|Female|?|?|2010-04-10|?|?|92|2|2|5|1|1|0|0|132|1124 days ago
2482|haleymeyer17|Public|?|Female|?|?|2010-12-14|?|?|50|2|2|9|0|16|0|0|136|921 days ago
2483|hippiechick9009|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2484|jeepster|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2485|gwensgifts|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2486|gregbarlow|Public|?|Male|Seremban|Married|2009-10-31|Chartered Accountant|English|12345|55|1192|571|28|23|12|8|2984|284 days ago
2487|iluvgeeks86|Public|1986-01-03|Not Specified|?|In A Relationship|2009-12-07|P&P; Specialist|?|565|10|13|29|14|10|0|0|300|967 days ago
2488|jennyutahgirl|Public|1987-05-06|Female|Draper|Single|2009-08-20|?|English|2246|2|52|71|108|30|3|1|293|684 days ago
2489|johnfrancis29|Public|1966-10-28|Male|?|Married|2010-11-30|?|?|728|13|109|49|0|24|0|1|468|904 days ago
2490|jlbarton|Public|?|Male|?|Married|2010-05-19|?|?|2158|14|77|58|1|1|0|0|432|838 days ago
2491|lawrenceemily|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2492|jewelryadviser|Public|1980-05-17|Female|Philadelphia|In A Relationship|2010-12-03|Jewelry Designer|English|341|2|3|4|3|8|1|0|141|920 days ago
2493|kriashun|Public|?|Female|?|Single|2010-04-01|preschool teacher|english|579|7|27|24|3|5|1|0|280|806 days ago
2494|kwiggins|Public|1986-03-24|Female|?|?|2008-04-23|?|?|1269|6|0|4|8|1|0|0|90|1688 days ago
2495|lilscrappy|Private|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2496|JessicaHallmark|Public|?|Not Specified|?|?|2011-06-28|?|?|4533|24|116|133|28|60|8|7|720|497 days ago
2497|lifeoptimistico|Public|1980-01-01|Female|?|?|2008-10-14|?|?|206|1|2|2|0|3|0|0|15|1553 days ago
2498|justanotherteenagegirl|Public|?|Female|?|?|2012-07-11|?|?|259|3|1|4|1|4|0|2|153|434 days ago
2499|lifecoach|Public|?|Female|Nottawa|divorced|2009-10-17|?|?|26200|201|709|1668|55|27|0|12|3867|108 days ago
2500|lishaanda|Public|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2501|luciusprosperie|Community|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?
2502|lov3nds3x69|Public|?|Female|Boston|?|2010-04-08|?|english,german spanish|600|7|19|38|7|9|0|0|237|1088 days ago
2503|manfredjohn|Public|?|Male|?|?|2011-05-31|?|english|6200|31|33|67|54|5|0|0|679|98 days ago
